Tournament,Date,Game Time,Blue Team,Red Team,Blue Kills,Blue Turrets,Blue Dragons,Blue Barons,Red Kills,Red Turrets,Red Dragons,Red Barons,Blue Wards Placed,Blue Wards Destroyed,Red Wards Placed,Red Wards Destroyed,First Dragon Team,First Dragon Time,First Rift Herald Team,First Rift Herald Time,Blue Bans 1,Blue Bans 2,Blue Bans 3,Blue Bans 4,Blue Bans 5,Red Bans 1,Red Bans 2,Red Bans 3,Red Bans 4,Red Bans 5,Blue Top,Blue Jungle,Blue Mid,Blue Bot,Blue Support,Red Top,Red Jungle,Red Mid,Red Bot,Red Support,Blue Top KDA,Blue Top CS,Blue Jungle KDA,Blue Jungle CS,Blue Mid KDA,Blue Mid CS,Blue Bot KDA,Blue Bot CS,Blue Support KDA,Blue Support CS,Red Top KDA,Red Top CS,Red Jungle KDA,Red Jungle CS,Red Mid KDA,Red Mid CS,Red Bot KDA,Red Bot CS,Red Support KDA,Red Support CS
Worlds Main Event 2023,10/29/2023,30.7,Weibo Gaming,Fnatic,18,10,2,2,8,1,3,0,104,37,116,52,Red,5.716666666666667,Blue,8.733333333333333,Jarvan IV, Azir, Xayah, Nautilus, Vi,Neeko, Rumble, Orianna, Poppy, Akali,Gnar, Maokai, Taliyah, Aphelios, Renata Glasc,KSante, Lee Sin, Syndra, Kalista, Rell, 4/1/8,296, 0/1/15,142, 3/4/10,250, 10/1/4,332, 1/1/13,40, 1/4/1,236, 4/4/3,173, 0/4/4,261, 1/3/6,253, 2/3/5,37
Worlds Main Event 2023,10/29/2023,23.633333333333333,Fnatic,Weibo Gaming,6,3,0,0,17,9,3,1,72,27,56,24,Red,7.65,Blue,8.533333333333333,Neeko, Rumble, Renata Glasc, Kalista, Jinx,Xayah, Jarvan IV, Orianna, Nautilus, Poppy,Olaf, Sejuani, Sylas, Aphelios, Alistar,KSante, Maokai, Azir, Caitlyn, Lux, 2/3/1,185, 1/2/3,142, 2/5/3,197, 1/3/2,181, 0/4/5,26, 1/2/6,171, 2/2/8,108, 5/1/8,204, 5/0/7,253, 4/1/11,22
Worlds Main Event 2023,10/29/2023,34.4,KT Rolster,Dplus KIA,15,11,1,2,9,1,4,0,130,42,113,72,Red,6.25,Red,8.566666666666666,Renata Glasc, Lee Sin, Kalista, Alistar, Orianna,Maokai, Xayah, Kaisa, Sejuani, KSante,Ryze, Viego, Azir, Zeri, Nautilus,Rumble, Jarvan IV, Neeko, Aphelios, Rell, 4/1/9,302, 2/3/6,197, 2/2/4,326, 7/0/7,372, 0/3/7,40, 3/3/4,283, 1/3/5,206, 3/3/5,249, 1/3/5,350, 1/3/7,31
Worlds Main Event 2023,10/29/2023,43.416666666666664,Dplus KIA,KT Rolster,15,5,3,2,15,9,3,1,149,91,185,66,Red,6.883333333333333,Blue,9.2,Maokai, Kaisa, Rumble, Vi, Sejuani,Xayah, Kalista, Lee Sin, Azir, Orianna,Renekton, Jarvan IV, Ahri, Aphelios, Alistar,Gnar, Viego, Neeko, Zeri, Nautilus, 2/3/7,350, 4/3/9,269, 2/3/7,316, 6/2/7,434, 1/4/10,28, 3/3/8,368, 1/2/10,217, 3/3/8,344, 8/1/6,543, 0/6/10,38
Worlds Main Event 2023,10/28/2023,28.733333333333334,T1,Bilibili Gaming,13,10,3,1,3,0,0,0,92,48,89,42,Blue,13.866666666666667,Blue,9.383333333333333,Maokai, Neeko, Jax, Rakan, Sejuani,Rumble, Xayah, Renata Glasc, Alistar, Caitlyn,Gnar, Jarvan IV, Azir, Tahm Kench, Senna,Renekton, Nidalee, Orianna, Kaisa, Rell, 3/1/2,317, 1/1/7,171, 3/0/5,290, 2/1/8,167, 4/0/4,65, 0/3/1,247, 0/3/3,163, 0/2/1,279, 2/3/1,254, 1/2/2,35
Worlds Main Event 2023,10/28/2023,31.016666666666666,Bilibili Gaming,T1,6,2,1,0,16,9,4,1,110,49,109,35,Blue,6.283333333333333,Blue,8.683333333333334,Renata Glasc, Azir, Rumble, Caitlyn, Kaisa,Maokai, Rakan, Neeko, Blitzcrank, Sejuani,Jax, Vi, Syndra, Xayah, Alistar,Gragas, Jarvan IV, Orianna, Jinx, Tahm Kench, 2/1/0,286, 0/3/4,178, 4/3/0,240, 0/4/1,282, 0/5/0,37, 0/2/5,248, 3/1/13,178, 2/2/12,247, 11/0/3,353, 0/1/13,33
Worlds Main Event 2023,10/28/2023,31.05,NRG,G2 Esports,23,10,4,1,3,1,0,0,102,34,94,40,Blue,10.966666666666667,Blue,8.933333333333334,Draven, Kalista, Tristana, Olaf, Viego,Orianna, Xayah, Alistar, Rakan, Renata Glasc,KSante, Vi, Neeko, Tahm Kench, Senna,Jax, Belveth, Syndra, Kaisa, Rell, 6/0/8,279, 8/0/9,192, 3/2/14,237, 1/0/15,194, 5/1/15,55, 0/4/1,276, 0/3/3,184, 3/4/0,268, 0/4/1,293, 0/8/2,25
Worlds Main Event 2023,10/28/2023,28.483333333333334,G2 Esports,NRG,7,2,0,0,20,9,4,1,135,50,92,48,Red,7.133333333333334,Blue,8.766666666666667,Senna, Maokai, Orianna, Neeko, Aphelios,Draven, Kalista, Viego, KSante, Jax,Ornn, Poppy, Azir, Xayah, Nautilus,Rumble, Jarvan IV, Taliyah, Sivir, Rakan, 0/2/6,209, 2/3/3,145, 1/6/3,226, 4/3/2,270, 0/6/6,42, 5/0/9,224, 7/3/8,164, 2/1/11,272, 6/2/7,270, 0/1/16,44
Worlds Main Event 2023,10/27/2023,35.5,KT Rolster,LNG Esports,9,3,3,0,13,9,2,2,151,56,119,60,Red,6.816666666666666,Blue,8.483333333333333,Kalista, Kaisa, Orianna, Rakan, Nautilus,Xayah, Rumble, Azir, Zeri, Varus,KSante, Maokai, Jayce, Jinx, Alistar,Jax, Jarvan IV, Neeko, Aphelios, Renata Glasc, 1/4/2,258, 0/2/9,157, 3/2/5,332, 4/2/4,356, 1/3/6,44, 1/2/2,340, 1/3/10,176, 3/3/6,261, 8/0/3,385, 0/1/11,22
Worlds Main Event 2023,10/27/2023,32.56666666666667,KT Rolster,LNG Esports,14,10,4,2,3,2,0,0,116,40,96,52,Blue,11.066666666666666,Blue,9.05,Maokai, Renata Glasc, Tristana, Alistar, Rakan,Xayah, Rumble, Neeko, Viego, Vi,Renekton, Sejuani, Taliyah, Kaisa, Nautilus,Jax, Jarvan IV, Azir, Sivir, Leona, 1/2/2,293, 2/0/7,205, 4/0/7,312, 7/0/4,363, 0/1/9,36, 2/1/1,283, 0/4/1,179, 1/2/1,303, 0/3/1,334, 0/4/0,34
